date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:03:17	2233/2233	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Nov%202015%2014:03:16%20GMT	http://www.mathewmason.com/robots.txt		(from )
06:03:17	9610/9610	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:17%20GMT	http://www.mathewmason.com/	site/index-2.html	(from )
06:03:17	11039/11039	U-----	200	untouched ('OK')	application/x-javascript	etag:%221264332-2b1f-46f426fb0542a%22	http://www.mathewmason.com/scripts/ufo.js	site/scripts/ufo.js	(from http://www.mathewmason.com/)
06:03:17	2191/2191	U-----	200	untouched ('OK')	text/css	etag:%22199cc3-88f-468487ca0385a%22	http://www.mathewmason.com/styles/general.css	site/styles/general.css	(from http://www.mathewmason.com/)
06:03:17	139704/139704	U-----	200	untouched ('')	image/jpeg	etag:%226a7c56-221b8-46847fab32ad3%22	http://www.mathewmason.com/images/banner.jpg	site/images/banner.jpg	(from http://www.mathewmason.com/)
06:03:26	9610/9610	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:17%20GMT	http://www.mathewmason.com/index.php	site/index-3.html	(from http://www.mathewmason.com/)
06:03:27	176121/176121	U-----	200	untouched ('')	image/jpeg	etag:%221a0b172-2aff9-46847fc92ad00%22	http://www.mathewmason.com/images/GameJamNovember2008/DSC04108.JPG	site/images/GameJamNovember2008/DSC04108.jpg	(from http://www.mathewmason.com/)
06:03:27	117262/117262	U-----	200	untouched ('')	image/jpeg	etag:%221a0b173-1ca0e-46847fca375dc%22	http://www.mathewmason.com/images/GameJamNovember2008/DSC04109.JPG	site/images/GameJamNovember2008/DSC04109.jpg	(from http://www.mathewmason.com/)
06:03:27	196110/196110	U-----	200	untouched ('')	image/jpeg	etag:%226a7c54-2fe0e-46847fd08b7c9%22	http://www.mathewmason.com/images/GameJamNovember2008/DSC04112.JPG	site/images/GameJamNovember2008/DSC04112.jpg	(from http://www.mathewmason.com/)
06:03:27	172482/172482	U-----	200	untouched ('')	image/jpeg	etag:%221a0b174-2a1c2-46847fd1d0af2%22	http://www.mathewmason.com/images/GameJamNovember2008/DSC04113.JPG	site/images/GameJamNovember2008/DSC04113.jpg	(from http://www.mathewmason.com/)
06:03:30	4656/4656	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:17%20GMT	http://www.mathewmason.com/index.php?id=16	site/index2728.html	(from http://www.mathewmason.com/)
06:03:31	11366/11366	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:18%20GMT	http://www.mathewmason.com/index.php?topic=Rant	site/indexba69.html	(from http://www.mathewmason.com/)
06:03:31	4885/4885	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:18%20GMT	http://www.mathewmason.com/index.php?id=15	site/index7429.html	(from http://www.mathewmason.com/)
06:03:37	7789/7789	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:27%20GMT	http://www.mathewmason.com/index.php?topic=Projects	site/index1f54.html	(from http://www.mathewmason.com/)
06:03:39	4451/4451	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:30%20GMT	http://www.mathewmason.com/index.php?id=14	site/index87f1.html	(from http://www.mathewmason.com/)
06:03:40	5310/5310	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:31%20GMT	http://www.mathewmason.com/index.php?id=13	site/index6e03.html	(from http://www.mathewmason.com/)
06:03:40	4377/4377	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:32%20GMT	http://www.mathewmason.com/index.php?id=12	site/index4ef9.html	(from http://www.mathewmason.com/)
06:03:40	224668/224668	U-----	200	untouched ('')	application/pdf	etag:%222569c39-36d9c-48f60d774da7e%22	http://www.mathewmason.com/texts/resume.pdf	site/texts/resume.pdf	(from http://www.mathewmason.com/)
06:03:43	3400/3400	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:40%20GMT	http://www.mathewmason.com/about.php	site/about.html	(from http://www.mathewmason.com/)
06:03:44	3699/3699	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:40%20GMT	http://www.mathewmason.com/index.php?month=12&year=2008	site/indexd629.html	(from http://www.mathewmason.com/)
06:03:49	3373/3373	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:44%20GMT	http://www.mathewmason.com/index.php?month=10&year=2008	site/index615c.html	(from http://www.mathewmason.com/)
06:03:53	3817/3817	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:43%20GMT	http://www.mathewmason.com/index.php?month=11&year=2008	site/indexf4dc.html	(from http://www.mathewmason.com/)
06:03:56	12791/12791	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:37%20GMT	http://www.mathewmason.com/index.php?offset=5	site/index8cf0.html	(from http://www.mathewmason.com/)
06:03:59	4200/4200	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:49%20GMT	http://www.mathewmason.com/index.php?month=9&year=2008	site/index4455.html	(from http://www.mathewmason.com/)
06:04:04	4808/4808	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:57%20GMT	http://www.mathewmason.com/index.php?month=10&year=2007	site/index4be6.html	(from http://www.mathewmason.com/)
06:04:07	5510/5510	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:03:53%20GMT	http://www.mathewmason.com/index.php?month=8&year=2008	site/index75bd.html	(from http://www.mathewmason.com/)
06:04:08	3512/3512	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2014:04:04%20GMT	http://www.mathewmason.com/index.php?topic=General	site/index26c9.html	(from http://www.mathewmason.com/)
