date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:56	3400/3400	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:58:53%20GMT	http://www.mathewmason.com/about.php	site/about.html	(from http://www.mathewmason.com/)
13:58:57	224668/224668	U-----	200	untouched ('')	application/pdf	etag:%222569c39-36d9c-48f60d774da7e%22	http://www.mathewmason.com/texts/resume.pdf	site/texts/resume.pdf	(from http://www.mathewmason.com/)
13:59:04	12791/12791	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:58:42%20GMT	http://www.mathewmason.com/index.php?offset=5	site/index8cf0.html	(from http://www.mathewmason.com/)
13:59:09	3699/3699	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:58:57%20GMT	http://www.mathewmason.com/index.php?month=12&year=2008	site/indexd629.html	(from http://www.mathewmason.com/)
13:59:16	3373/3373	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:59:09%20GMT	http://www.mathewmason.com/index.php?month=10&year=2008	site/index615c.html	(from http://www.mathewmason.com/)
13:59:16	3817/3817	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:59:05%20GMT	http://www.mathewmason.com/index.php?month=11&year=2008	site/indexf4dc.html	(from http://www.mathewmason.com/)
13:59:22	14584/14584	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:58:46%20GMT	http://www.mathewmason.com/projects.php	site/projects.html	(from http://www.mathewmason.com/)
13:59:23	5510/5510	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:59:16%20GMT	http://www.mathewmason.com/index.php?month=8&year=2008	site/index75bd.html	(from http://www.mathewmason.com/)
13:59:27	4200/4200	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:59:16%20GMT	http://www.mathewmason.com/index.php?month=9&year=2008	site/index4455.html	(from http://www.mathewmason.com/)
13:59:29	4808/4808	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:59:22%20GMT	http://www.mathewmason.com/index.php?month=10&year=2007	site/index4be6.html	(from http://www.mathewmason.com/)
13:59:32	7466/7466	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:59:23%20GMT	http://www.mathewmason.com/index.php?month=1&year=2007	site/index33e1.html	(from http://www.mathewmason.com/)
13:59:33	27622/27622	U-----	200	untouched ('')	image/png	etag:%2255f5a627-6be6%22	http://card.mygamercard.net/masonofsparta.png	site/masonofsparta.png	(from http://www.mathewmason.com/)
13:59:33	3512/3512	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:59:27%20GMT	http://www.mathewmason.com/index.php?topic=General	site/index26c9.html	(from http://www.mathewmason.com/)
13:59:34	20524/20524	U--M--	200	updated ('OK')	image/png	date:Tue,%2029%20Jul%202014%2018:50:34%20GMT	http://images.spreadfirefox.com/affiliates/Buttons/firefox3/foxkeh-fx3-180x60.png	site/affiliates/Buttons/firefox3/foxkeh-fx3-180x60.png	(from http://www.mathewmason.com/)
13:59:35	1882/1882	U-----	200	untouched ('')	image/png	etag:%2275a-41880ced83900;520010edf82df%22	http://www.w3.org/Icons/valid-xhtml10	site/Icons/valid-xhtml10.png	(from http://www.mathewmason.com/)
13:59:36	1547/1547	U-----	200	untouched ('')	image/gif	etag:%22178shp7:1a2k1jdo8%22	http://jigsaw.w3.org/css-validator/images/vcss	site/css-validator/images/vcss.gif	(from http://www.mathewmason.com/)
13:59:36	3278/3278	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2021:59:29%20GMT	http://www.mathewmason.com/index.php?topic=Humor	site/indexc5ba.html	(from http://www.mathewmason.com/)
14:00:16	4098/4098	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:07%20GMT	http://www.mathewmason.com/index.php?id=16&topic=Rant	site/index968e.html	(from http://www.mathewmason.com/index.php?topic=Rant)
14:00:16	5319/5319	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:07%20GMT	http://www.mathewmason.com/index.php?id=7&topic=Rant	site/indexc336.html	(from http://www.mathewmason.com/index.php?topic=Rant)
14:00:19	7867/7867	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:07%20GMT	http://www.mathewmason.com/index.php?id=6&topic=Rant	site/indexde44.html	(from http://www.mathewmason.com/index.php?topic=Rant)
14:00:21	3732/3732	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:16%20GMT	http://www.mathewmason.com/index.php?month=12&year=2008&topic=Rant	site/index976d.html	(from http://www.mathewmason.com/index.php?topic=Rant)
14:00:28	4841/4841	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:17%20GMT	http://www.mathewmason.com/index.php?month=10&year=2007&topic=Rant	site/indexfd57.html	(from http://www.mathewmason.com/index.php?topic=Rant)
14:00:31	7499/7499	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:19%20GMT	http://www.mathewmason.com/index.php?month=1&year=2007&topic=Rant	site/index10fe.html	(from http://www.mathewmason.com/index.php?topic=Rant)
14:00:36	11366/11366	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:21%20GMT	http://www.mathewmason.com/index.php?topic=Rant&topic=Rant	site/index9ef8.html	(from http://www.mathewmason.com/index.php?topic=Rant)
14:00:39	4316/4316	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:29%20GMT	http://www.mathewmason.com/index.php?id=15&topic=Projects	site/indexdede.html	(from http://www.mathewmason.com/index.php?topic=Projects)
14:00:44	4030/4030	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:31%20GMT	http://www.mathewmason.com/index.php?id=14&topic=Projects	site/index2cf6.html	(from http://www.mathewmason.com/index.php?topic=Projects)
14:00:49	3862/3862	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:44%20GMT	http://www.mathewmason.com/index.php?month=11&year=2008&topic=Projects	site/index0feb.html	(from http://www.mathewmason.com/index.php?topic=Projects)
14:00:51	4889/4889	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:37%20GMT	http://www.mathewmason.com/index.php?id=13&topic=Projects	site/index8ddd.html	(from http://www.mathewmason.com/index.php?topic=Projects)
14:00:53	3821/3821	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:40%20GMT	http://www.mathewmason.com/index.php?id=12&topic=Projects	site/index46a8.html	(from http://www.mathewmason.com/index.php?topic=Projects)
14:00:59	3418/3418	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:50%20GMT	http://www.mathewmason.com/index.php?month=10&year=2008&topic=Projects	site/index56c6.html	(from http://www.mathewmason.com/index.php?topic=Projects)
14:01:00	4245/4245	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:51%20GMT	http://www.mathewmason.com/index.php?month=9&year=2008&topic=Projects	site/indexcef0.html	(from http://www.mathewmason.com/index.php?topic=Projects)
14:01:05	3341/3341	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:53%20GMT	http://www.mathewmason.com/index.php?month=8&year=2008&topic=Projects	site/index8655.html	(from http://www.mathewmason.com/index.php?topic=Projects)
14:01:07	4672/4672	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:01:00%20GMT	http://www.mathewmason.com/index.php?id=9	site/index5255.html	(from http://www.mathewmason.com/index.php?id=12)
14:01:08	7789/7789	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:00:59%20GMT	http://www.mathewmason.com/index.php?topic=Projects&topic=Projects	site/indexbdbc.html	(from http://www.mathewmason.com/index.php?topic=Projects)
14:01:09	2875/2875	U-----	200	untouched ('OK')	text/plain	etag:%22b3b-51be392bded40%22	http://www.w3.org/robots.txt		(from http://www.mathewmason.com/)
14:01:09	403/403	U-----	200	untouched ('OK')	text/plain	etag:%22m75qsl:122bss69o%22	http://jigsaw.w3.org/robots.txt		(from http://www.mathewmason.com/)
14:01:18	5904/5904	U--MC-	200	updated ('OK')	text/html	date:Sat,%2021%20Nov%202015%2022:01:07%20GMT	http://www.mathewmason.com/index.php?id=7	site/index8803.html	(from http://www.mathewmason.com/index.php?offset=5)
